Fecha,Planta,Tratamiento,Altura planta (cm),Diametro tallo (mm),Clorofila (SPAD),Numero flores ,Numero frutos,Numero frutos cosechados ,Peso frutos cosechados (Kg),Perímetro (mm),Tamanno altura (mm),Frutos de 2da,pH_savia,K_savia (ppm),Ca_savia (ppm),Na_savia (ppm),NO3_savia (ppm),Conductividad_savia (mS/cm),Fosforo_savia (ppm),pH_suelo_Horiba,K_suelo_Horiba (ppm),Ca_suelo_Horiba (ppm),Na_suelo_Horiba (ppm),NO3_suelo_Horiba (ppm),Conductividad_suelo_Horiba (mS/cm),Fosforo_suelo_Hanna (ppm),Tamanno cintura (mm),7in1_Nitrogen[mg/kg],7in1_Phosphorus[mg/kg],7in1_Potasium[mg/kg],7in1_Ph[pH],7in1_Moisture[%RH],7in1_S_Temperature[C],7in1_Conductivity[uS/cm],Pynamometer_Radiation[W/m^2],Air_sensor_Temperature[C],Air_sensor_Humidity[%RH],RGB_capture,Tapo_capture,Parrot_capture,Tratamiento iniciado,7in1_Conductivity[mS/cm],Pynamometer_Radiation[W/m2],Cultivo,Laboratorio,Posicion_x,Posicion_y,x,y
2024-08-06,107,T22_N2P0K1,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,37.0,75,6.46,16.8,28.7,378.0,51.0,26.6,63.2,0.0,0.0,0.0,Si,0.378,510.0,Tomatoes,Quindio,8.1,9.6,8.1,9.6
2024-08-06,110,T12_N1P2K0,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,21.0,43,6.41,19.4,27.9,217.0,65.1,26.8,63.1,1.0,1.0,5.0,Si,0.217,651.0,Tomatoes,Quindio,8.1,10.8,8.1,10.8
2024-08-06,113,T28_BIO-N0P0K0,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,34.0,68,6.54,19.1,27.9,344.0,63.3,27.0,65.2,1.0,1.0,5.0,Si,0.344,633.0,Tomatoes,Quindio,5.9,10.8,5.9,10.8
2024-08-06,116,T1_N0P0K0,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,28.0,56,6.44,21.8,29.5,284.0,67.2,27.4,58.9,1.0,1.0,5.0,Si,0.284,672.0,Tomatoes,Quindio,3.7,10.8,3.7,10.8
2024-08-06,119,T14_N1P0K2,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,58.0,116,6.55,16.1,30.3,580.0,72.5,27.9,60.0,1.0,1.0,5.0,Si,0.58,725.0,Tomatoes,Quindio,1.5,10.8,1.5,10.8
2024-08-06,122,T5_N0P0K2,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,57.0,114,6.6,17.0,31.5,574.0,72.5,28.5,56.0,1.0,1.0,5.0,Si,0.574,725.0,Tomatoes,Quindio,1.5,12.0,1.5,12.0
2024-08-06,125,T30_BIO N2P2K2,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,37.0,75,6.46,18.6,31.5,377.0,66.4,28.8,55.9,1.0,1.0,5.0,Si,0.377,664.0,Tomatoes,Quindio,3.7,12.0,3.7,12.0
2024-08-06,128,T3_N0P2K0,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,11.0,23,6.53,22.4,31.2,116.0,26.7,28.9,54.1,1.0,1.0,5.0,Si,0.116,267.0,Tomatoes,Quindio,5.9,12.0,5.9,12.0
2024-08-06,131,T7_N0P1K2,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,56.0,112,6.4,14.0,31.1,563.0,25.6,28.7,53.4,1.0,1.0,5.0,Si,0.563,256.0,Tomatoes,Quindio,8.1,12.0,8.1,12.0
2024-08-06,134,T21_N2P2K0,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,84.0,169,6.43,16.4,31.1,852.0,23.9,28.5,58.7,1.0,1.0,5.0,Si,0.852,239.0,Tomatoes,Quindio,8.1,13.2,8.1,13.2
2024-08-06,137,T23_N2P0K2,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,56.0,113,6.48,16.8,29.9,566.0,19.9,28.2,60.0,1.0,1.0,5.0,Si,0.566,199.0,Tomatoes,Quindio,5.9,13.2,5.9,13.2
2024-08-06,140,T20_N2P1K0,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,54.0,109,6.56,24.9,29.1,548.0,25.2,27.9,57.8,1.0,1.0,5.0,Si,0.548,252.0,Tomatoes,Quindio,3.7,13.2,3.7,13.2
2024-08-06,143,T18_N1P2K2,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,36.0,73,6.52,20.7,29.1,368.0,16.8,27.5,61.2,1.0,1.0,5.0,Si,0.368,168.0,Tomatoes,Quindio,1.5,13.2,1.5,13.2
2024-08-06,146,T6_N0P1K1,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,40.0,105,6.52,17.1,28.7,528.0,16.0,26.9,60.9,1.0,1.0,5.0,Si,0.528,160.0,Tomatoes,Quindio,1.5,14.4,1.5,14.4
2024-08-06,149,T17_N1P2K1,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,36.0,72,6.39,19.1,28.7,362.0,13.2,26.3,61.9,1.0,1.0,5.0,Si,0.362,132.0,Tomatoes,Quindio,3.7,14.4,3.7,14.4
