Fecha,Tratamiento,Altura planta (cm),Clorofila (SPAD),Numero flores ,Numero frutos cosechados ,Peso frutos cosechados (Kg),Tamanno altura (mm),pH_savia,K_savia (ppm),Ca_savia (ppm),Na_savia (ppm),NO3_savia (ppm),Conductividad_savia (mS/cm),pH_suelo_Horiba,K_suelo_Horiba (ppm),Ca_suelo_Horiba (ppm),Na_suelo_Horiba (ppm),NO3_suelo_Horiba (ppm),Conductividad_suelo_Horiba (mS/cm),Tamanno cintura (mm),7in1_Ph[pH],7in1_Moisture[%RH],7in1_S_Temperature[C],Air_sensor_Temperature[C],Air_sensor_Humidity[%RH],Tratamiento iniciado,7in1_Conductivity[mS/cm],Pynamometer_Radiation[W/m2],N,P,K,Año,Mes,Día,Tratamiento_num
2024-08-14,T4_N0P0K1,,,,,,,,,,,,,,,,,,,,6.61,17.3,24.0,23.3,79.1,Si,0.552,166.0,0,0,1,2024,8,14,4.0
2024-08-14,T15_N1P1K1,,,,,,,,,,,,,,,,,,,,6.56,13.7,24.0,23.4,77.6,Si,0.304,155.0,1,1,1,2024,8,14,15.0
2024-08-14,T9_N0P2K2,,,,,,,,,,,,,,,,,,,,6.68,22.3,24.4,23.4,77.0,Si,0.278,161.0,0,2,2,2024,8,14,9.0
2024-08-14,T13_N1P0K1,,,,,,,,,,,,,,,,,,,,6.7,15.4,24.4,23.6,76.8,Si,0.561,259.0,1,0,1,2024,8,14,13.0
2024-08-14,T22_N2P0K1,,,,,,,,,,,,,,,,,,,,6.08,15.3,24.5,23.9,74.8,Si,0.741,264.0,2,0,1,2024,8,14,22.0
2024-08-14,T10_N1P0K0,,,,,,,,,,,,,,,,,,,,6.44,15.0,24.4,24.2,74.0,Si,0.557,453.0,1,0,0,2024,8,14,10.0
2024-08-14,T28_BIO-N0P0K0,,,,,,,,,,,,,,,,,,,,6.56,14.5,25.2,24.8,75.3,Si,0.578,471.0,0,0,0,2024,8,14,28.0
2024-08-14,T12_N1P2K0,,,,,,,,,,,,,,,,,,,,6.61,10.8,25.6,25.4,68.8,Si,0.119,590.0,1,2,0,2024,8,14,12.0
2024-08-14,T26_N2P2K1,,,,,,,,,,,,,,,,,,,,6.56,14.9,26.0,26.0,69.1,Si,0.551,559.0,2,2,1,2024,8,14,26.0
2024-08-14,T16_N1P1K2,,,,,,,,,,,,,,,,,,,,6.61,16.6,27.0,26.7,66.4,Si,0.982,612.0,1,1,2,2024,8,14,16.0
2024-08-14,T1_N0P0K0,,,,,,,,,,,,,,,,,,,,6.62,23.9,26.8,27.4,64.1,Si,0.133,435.0,0,0,0,2024,8,14,1.0
2024-08-14,T14_N1P0K2,,,,,,,,,,,,,,,,,,,,6.56,10.5,26.8,27.3,59.3,Si,0.374,282.0,1,0,2,2024,8,14,14.0
